Country,City,Name,Link,Logo,Description
Thailand,Chiang Mai,Chiang Mai University,https://www.cmu.ac.th/en/,,"visiting scholar in material science 2018,research opportunitues,staying,collaboration"
Uganda,Kampala,Makerere University,https://mak.ac.ug/,,
Uganda,Mukono,Uganda Christian University,,,
United Arab Emirates,Sharjah,American University of Sharjah,https://www.aus.edu/,,
United Arab Emirates,Abu Dhabi,Khalifa University of Science and Technology (KU),https://www.kaust.edu.sa/en,,
United Kingdom,Cardiff,Cardiff University,https://www.cardiff.ac.uk/,,"faculty grant for international connections in Wales 2013,research-gold -lead separation enhances the bimetallic catalysis of alcohol oxidation"
United Kingdom,Newcastle-Upon-Tyne,Newcastle University,https://www.ncl.ac.uk/,,
United Kingdom,Newcastle-Upon-Tyne,"Northumbria University, Newcastle",https://www.northumbria.ac.uk/,,
United Kingdom,Camden Town,Open University,https://www.open.ac.uk/,,
United Kingdom,London,Queen Mary University of London,https://www.qmul.ac.uk/,,
United Kingdom,Belfast,Queen's University Belfast,https://www.qub.ac.uk/,,
United Kingdom,Cirencester,Royal Agricultural University,https://www.rau.ac.uk/,,
United Kingdom,London,The University Foundation Programme,,,
United Kingdom,London,University College London,,,
United Kingdom,"George Town, Cayman Islands",University College of the Cayman Islands,,,
United Kingdom,Aberdeen,University of Aberdeen,,,
United Kingdom,Bath,University of Bath,,,
United Kingdom,Birmingham,University of Birmingham,,,
United Kingdom,Buckingham,University of Buckingham,,,
United Kingdom,Edinburgh,University of Edinburgh,,,
United Kingdom,,University of Glasgow,,,
United Kingdom,London,University of Greenwich,,,
United Kingdom,Canterbury,University of Kent,,,
United Kingdom,Manchester,University of Manchester,,,
United Kingdom,Nottingham,University of Nottingham,,,
United Kingdom,Oxford,University of Oxford,,,
United Kingdom,Sheffield,University of Sheffield,,,
United Kingdom,Pontypridd,University of South Wales,,,
United Kingdom,Stirling,University of Stirling,,,
United Kingdom,Glasgow,University of Strathclyde,,,
United Kingdom,,University of Warwick,,,
United Kingdom,York,University of York,,,
United States,"Washington, D.C.",American Association of University Women (AAUW),https://www.aauw.org/,,
United States,Glenside,Arcadia University,https://www.arcadia.edu/,,"research,on-campus engagement,education abroad,training and capacity builiding,virtual engagement,relation process automation trigger,Iacocca international internship program"
United States,Boston,Boston University,https://www.bu.edu/,,
United States,Waltham,Brandeis University,https://www.brandeis.edu/,,
United States,Indianapolis,Butler University,https://www.butler.edu/,,
